@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
67,'2021/06/23 01:28:35:748',1,0,0,0.005698,0.024801,0.007789,0.011909,0.021098,0.018612,0.013294,0.006733,0.007279,0.010875,0.014863,0.015711,0.012922,0.009708,0.011297,0.018644,0.011586,0.010937,0.009428,0.011466,0.011331,0.011991,0.009865,0,1,0.32,0,0
68,'2021/06/23 01:28:35:779',1,0,0,0.003869,0.020403,0.013681,0.010716,0.009421,0.009556,0.011635,0.004161,0.004399,0.008491,0.01365,0.017717,0.011933,0.009054,0.008762,0.017366,0.0171,0.019919,0.015238,0.011792,0.016598,0.014992,0.00922,0,1,0.32,0,0
69,'2021/06/23 01:28:35:812',1,0,0,0.005247,0.019646,0.013279,0.004127,0.026955,0.058112,0.085861,0.01407,0.010896,0.032358,0.042679,0.028374,0.034701,0.015823,0.019791,0.028477,0.075842,0.057474,0.026931,0.056563,0.028238,0.019754,0.011638,0,1,0.32,0,0
70,'2021/06/23 01:28:35:844',1,0,0,0.006218,0.024973,0.008794,0.004754,0.005032,0.051504,0.055007,0.006625,0.010189,0.030169,0.035676,0.019136,0.029529,0.017105,0.021708,0.02993,0.056663,0.032884,0.021902,0.04737,0.024222,0.015943,0.012105,0,1,0.32,0,0
71,'2021/06/23 01:28:35:894',1,0,0,0.007733,0.029352,0.011043,0.003467,0.015545,0.040108,0.041956,0.005797,0.008749,0.038832,0.025063,0.026583,0.04043,0.024262,0.014504,0.020757,0.041421,0.031701,0.025507,0.046967,0.018331,0.014326,0.013461,0,1,0.32,0,0
72,'2021/06/23 01:28:35:931',1,0,0,0.005878,0.025775,0.00982,0.002903,0.01197,0.055593,0.049802,0.006367,0.00825,0.025226,0.028348,0.021731,0.032577,0.02804,0.018028,0.021371,0.032941,0.022452,0.021001,0.032367,0.018884,0.016388,0.011317,0,1,0.32,0,0
73,'2021/06/23 01:28:35:964',1,0,0,0.009765,0.026204,0.007978,0.007543,0.056964,0.045551,0.047893,0.013371,0.011955,0.032205,0.023691,0.020691,0.036964,0.019146,0.012443,0.016859,0.037432,0.023144,0.016413,0.021671,0.016628,0.016042,0.013298,0,1,0.32,0,0
74,'2021/06/23 01:28:36:003',1,0,0,0.009765,0.026204,0.007978,0.007543,0.056964,0.045551,0.047893,0.013371,0.011955,0.032205,0.023691,0.020691,0.036964,0.019146,0.012443,0.016859,0.037432,0.023144,0.016413,0.021671,0.016628,0.016042,0.013298,0,1,0.32,0,0
75,'2021/06/23 01:28:36:037',1,0,0,0.004371,0.025387,0.023296,0.010422,0.025788,0.045477,0.055276,0.012165,0.013351,0.035238,0.035012,0.020231,0.022497,0.021968,0.014523,0.017065,0.032806,0.025761,0.017544,0.019259,0.01358,0.01067,0.009389,0,1,0.32,0,0
76,'2021/06/23 01:28:36:066',1,0,0,0.003441,0.02367,0.01909,0.017798,0.032017,0.047216,0.03983,0.007285,0.010768,0.033473,0.026292,0.01975,0.031725,0.03436,0.016114,0.018984,0.032552,0.01924,0.01325,0.015573,0.01324,0.011849,0.012341,0,1,0.32,0,0
